cluster_kmeans,Recency,Frequency,Monetary,Category_Diversity,Method,cluster_gmm,cluster_agg,cluster_hier,cluster_rfm,cluster_spark
0.0,124.60192307692307,6.267307692307693,50.305557692307694,3.5519230769230767,KMeans,,,,,
1.0,439.85622593068035,4.976893453145058,40.75983311938383,3.349165596919127,KMeans,,,,,
2.0,138.41596638655463,11.525910364145659,93.75976890756303,5.616946778711484,KMeans,,,,,
3.0,94.88172043010752,18.29646697388633,175.42394777265747,6.686635944700461,KMeans,,,,,
,84.39004524886877,8.189140271493212,60.497819004524885,4.442533936651584,GMM,0.0,,,,
,42.901307966706305,15.258026159334126,144.8928418549346,5.906064209274673,GMM,1.0,,,,
,371.7681307456588,5.076608784473953,35.85840653728294,3.6414708886619,GMM,2.0,,,,
,244.9825282631038,12.244604316546763,111.35588900308325,5.381294964028777,GMM,3.0,,,,
,176.30844382414514,8.163293789253315,64.49223307745987,4.52407536636427,Agglomerative,,0.0,,,
,120.3030042918455,13.182832618025751,115.54842918454936,5.854935622317597,Agglomerative,,1.0,,,
,345.5445321307779,4.082299887260429,31.504712514092446,2.790304396843292,Agglomerative,,2.0,,,
,78.35108958837772,19.583535108958838,186.88537530266345,7.016949152542373,Agglomerative,,3.0,,,
,78.35108958837772,19.583535108958838,186.88537530266345,7.016949152542373,Hierarchical,,,1.0,,
,120.3030042918455,13.182832618025751,115.54842918454936,5.854935622317597,Hierarchical,,,2.0,,
,345.5445321307779,4.082299887260429,31.504712514092446,2.790304396843292,Hierarchical,,,3.0,,
,176.30844382414514,8.163293789253315,64.49223307745987,4.52407536636427,Hierarchical,,,4.0,,
,344.43607705779334,4.810858143607706,35.39826619964974,3.359894921190893,RFM,,,,0,
,179.9083129584352,7.864303178484108,63.83976772616137,4.4559902200489,RFM,,,,1,
,123.2015625,12.03515625,104.32232031250001,5.490625,RFM,,,,2,
,50.83738601823708,17.375379939209726,161.065820668693,6.332826747720365,RFM,,,,3,
,438.9067688378033,4.968071519795657,40.61291187739464,3.342273307790549,SparkKMeans,,,,,0.0
,92.53870458135862,18.406003159557663,176.67824644549762,6.676145339652448,SparkKMeans,,,,,1.0
,124.21596244131456,6.345539906103286,50.82806572769953,3.592488262910798,SparkKMeans,,,,,2.0
,139.11714890613973,11.620324629498942,94.84156669019055,5.651376146788991,SparkKMeans,,,,,3.0
